Age,Sex,Race,Marital status,Education,Employment,Incomes,Number of books read,Printed books?,Audiobooks?,E-books?,Source of the last book read,Daily news/newspapers reader?,Magazines/Journals reader?
46,Male,Native American,Married,High school,Employed full-time,<$10k,97,Yes,Yes,Yes,Purchased,Yes,Yes
32,Male,Mixed race,Never been married,High school,Employed full-time,<$10k,97,No,Yes,Yes,Borrowed from others,Yes,Yes
27,Male,Mixed race,Married,High school,Employed full-time,$40k-50k,97,Yes,No,Yes,Borrowed from library,Yes,No
16,Female,Mixed race,Never been married,Some high school,Employed part-time,$10k-20k,97,Yes,Yes,No,Purchased,Yes,No
55,Female,Asian/Pacific Islander,Divorced,Some college,Self-employed,$40k-50k,97,Yes,Yes,Yes,Purchased,No,No
63,Male,Black/African-American,Widowed,Some college,Employed full-time,$50k-75k,97,Yes,No,No,Borrowed from library,Yes,No
60,Female,Black/African-American,Married,College,Retired,$100k-150k,97,Yes,No,No,Purchased,Yes,Yes
50,Female,Black/African-American,Married,Post-graduate,Employed part-time,$75k-100k,97,Yes,No,Yes,Purchased,Yes,No
29,Female,Black/African-American,Never been married,High school,Employed part-time,<$10k,97,Yes,No,Yes,Borrowed from others,No,No
23,Male,Black/African-American,Never been married,High school,Employed part-time,$100k-150k,97,Yes,No,No,Borrowed from others,Yes,Yes
19,Female,Black/African-American,Never been married,Some college,Employed part-time,$50k-75k,97,Yes,No,No,Other sources,Yes,Yes
16,Female,Black/African-American,Never been married,High school,Student,$10k-20k,97,Yes,No,Yes,Borrowed from library,No,Yes
89,Female,White,Widowed,Some college,Retired,$30k-40k,97,Yes,No,No,Purchased,Yes,Yes
88,Female,White,Widowed,Some college,Retired,$10k-20k,97,Yes,No,No,Borrowed from library,Yes,No
84,Female,White,Widowed,Some college,Retired,$100k-150k,97,Yes,No,No,Borrowed from others,Yes,Yes
81,Female,White,Married,Some college,Retired,$75k-100k,97,Yes,No,No,Purchased,Yes,Yes
79,Female,White,Widowed,High school,Other,$20k-30k,97,Yes,No,No,Borrowed from library,No,No
79,Male,White,Married,College,Retired,$50k-75k,97,Yes,No,No,Borrowed from library,Yes,No
78,Female,White,Divorced,High school,Unemployed,$10k-20k,97,Yes,No,No,Borrowed from library,No,No
78,Male,White,Married,College,Retired,$100k-150k,97,Yes,No,No,Borrowed from library,Yes,Yes
78,Female,White,Widowed,Trade school,Retired,$10k-20k,97,Yes,No,No,Borrowed from library,Yes,Yes
76,Female,White,Married,Post-graduate,Retired,$100k-150k,97,Yes,No,No,Borrowed from others,Yes,Yes
75,Female,White,Married,Post-graduate,Retired,$100k-150k,97,Yes,No,No,Borrowed from library,Yes,Yes
73,Male,White,Married,Post-graduate,Self-employed,$100k-150k,97,Yes,No,No,Purchased,Yes,Yes
73,Female,White,Married,College,Unemployed,$50k-75k,97,Yes,No,Yes,Borrowed from library,Yes,Yes
71,Female,White,Divorced,Post-graduate,Retired,$100k-150k,97,Yes,No,No,Borrowed from library,Yes,No
70,Male,White,Married,Post-graduate,Retired,$75k-100k,97,Yes,No,No,Purchased,Yes,Yes
70,Male,White,Married,Post-graduate,Retired,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
69,Female,White,Married,College,Retired,$75k-100k,97,Yes,No,No,Purchased,Yes,Yes
69,Female,White,Widowed,Some college,Retired,<$10k,97,Yes,No,No,Borrowed from others,Yes,Yes
68,Female,White,Married,High school,Employed part-time,$30k-40k,97,Yes,No,No,Borrowed from others,Yes,Yes
68,Female,White,Divorced,High school,Retired,$20k-30k,97,Yes,No,No,Borrowed from others,Yes,Yes
67,Female,White,Widowed,Some college,Retired,$30k-40k,97,Yes,No,No,Other sources,Yes,Yes
67,Female,White,Married,Some high school,Retired,$75k-100k,97,Yes,No,Yes,Purchased,Yes,Yes
66,Female,White,Married,Some college,Retired,$50k-75k,97,Yes,No,No,Borrowed from library,Yes,Yes
66,Female,White,Divorced,Post-graduate,Retired,$20k-30k,97,Yes,No,No,Purchased,Yes,No
66,Female,White,Married,College,Retired,$100k-150k,97,Yes,No,Yes,Borrowed from library,Yes,No
65,Female,White,Married,Post-graduate,Retired,$20k-30k,97,Yes,No,No,Purchased,No,No
65,Male,White,Married,Post-graduate,Retired,$30k-40k,97,Yes,No,No,Purchased,Yes,Yes
65,Female,White,Divorced,College,Retired,$10k-20k,97,Yes,No,No,Other sources,Yes,Yes
65,Female,White,Widowed,Some college,Retired,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
65,Female,White,Divorced,College,Employed full-time,$75k-100k,97,Yes,No,No,Borrowed from library,Yes,Yes
65,Female,White,Living with a partner,Some college,Employed part-time,$40k-50k,97,Yes,Yes,No,Purchased,Yes,Yes
65,Female,White,Divorced,Some college,Retired,$20k-30k,97,Yes,No,No,Borrowed from library,Yes,Yes
64,Female,White,Married,Post-graduate,Retired,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
64,Male,White,Married,Post-graduate,Retired,$100k-150k,97,Yes,Yes,Yes,Purchased,Yes,Yes
64,Male,White,Married,College,Employed full-time,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
63,Female,White,Married,Post-graduate,Retired,$75k-100k,97,Yes,Yes,Yes,Purchased,Yes,Yes
63,Female,White,Divorced,Some college,Employed full-time,$50k-75k,97,Yes,No,No,Purchased,Yes,Yes
62,Female,White,Divorced,College,Retired,$20k-30k,97,Yes,Yes,Yes,Purchased,Yes,Yes
60,Female,White,Widowed,College,Employed full-time,$100k-150k,97,Yes,Yes,Yes,Purchased,No,Yes
60,Female,White,Single,College,Employed full-time,$50k-75k,97,Yes,Yes,Yes,Borrowed from library,Yes,Yes
60,Female,White,Never been married,College,Employed part-time,$50k-75k,97,Yes,No,Yes,Purchased,Yes,Yes
60,Female,White,Married,College,Employed full-time,$50k-75k,97,Yes,No,Yes,Purchased,Yes,Yes
60,Female,White,Never been married,College,Retired,$20k-30k,97,Yes,Yes,No,Purchased,Yes,No
